Simulation.timestep  Simulation.tps  Simulation.seed  Simulation.walltime
      8300000          147.91169           1784            67.60115      
      8350000          147.70580           1784            67.69538      
      8400000          148.32362           1784            67.41340      
      8450000          147.36282           1784            67.85294      
      8500000          147.76895           1784            67.66645      
      8550000          148.34957           1784            67.40161      
      8600000          148.05669           1784            67.53494      
      8650000          147.94292           1784            67.58688      
Simulation.timestep  Simulation.tps  Simulation.seed  Simulation.walltime
      8700000          148.39317           1784            67.38181      
      8750000          148.75212           1784            67.21921      
      8800000          148.20713           1784            67.46639      
      8850000          148.00083           1784            67.56043      
      8900000          148.30636           1784            67.42125      
      8950000          148.46903           1784            67.34738      
      9000000          148.55424           1784            67.30875      
      9050000          148.39843           1784            67.37942      
      9100000          148.70743           1784            67.23941      
      9150000          148.16112           1784            67.48734      
      9200000          147.82903           1784            67.63895      
      9250000          148.20138           1784            67.46901      
      9300000          147.59509           1784            67.74615      
      9350000          148.57716           1784            67.29836      
      9400000          148.45909           1784            67.35189      
      9450000          147.97708           1784            67.57127      
      9500000          148.90695           1784            67.14932      
      9550000          148.86564           1784            67.16795      
      9600000          147.82952           1784            67.63872      
      9650000          148.52652           1784            67.32131      
      9700000          148.17563           1784            67.48073      
      9750000          149.32383           1784            66.96185      
      9800000          149.11780           1784            67.05437      
      9850000          148.28288           1784            67.43192      
      9900000          148.32686           1784            67.41193      
      9950000          148.71994           1784            67.23376      
     10000000          148.52913           1784            67.32013      
     10050000          148.72658           1784            67.23075      
     10100000          148.19573           1784            67.47158      
     10150000          148.11788           1784            67.50704      
     10200000          148.09485           1784            67.51754      
     10250000          148.59346           1784            67.29098      
     10300000          148.56855           1784            67.30227      
     10350000          149.50382           1784            66.88123      
     10400000          149.94282           1784            66.68542      
     10450000          149.57431           1784            66.84972      
     10500000          148.15039           1784            67.49223      
     10550000          148.32812           1784            67.41136      
     10600000          149.13846           1784            67.04508      
     10650000          148.64339           1784            67.26838      
     10700000          148.31077           1784            67.41924      
     10750000          148.22748           1784            67.45713      
     10800000          147.87445           1784            67.61817      
     10850000          147.59170           1784            67.74771      
     10900000          148.04231           1784            67.54150      
     10950000          148.69956           1784            67.24297      
     11000000          148.47735           1784            67.34360      
     11050000          148.61968           1784            67.27911      
     11100000          149.34886           1784            66.95063      
     11150000          148.21901           1784            67.46098      
     11200000          148.71858           1784            67.23437      
     11250000          149.52656           1784            66.87106      
     11300000          148.32775           1784            67.41153      
Simulation.timestep  Simulation.tps  Simulation.seed  Simulation.walltime
     11350000          148.23966           1784            67.45158      
     11400000          148.41878           1784            67.37018      
     11450000          148.70980           1784            67.23834      
     11500000          148.75892           1784            67.21614      
     11550000          149.25041           1784            66.99479      
     11600000          148.37161           1784            67.39160      
     11650000          148.29194           1784            67.42781      
     11700000          148.53743           1784            67.31637      
     11750000          148.85850           1784            67.17117      
     11800000          147.75811           1784            67.67141      
     11850000          148.46062           1784            67.35119      
     11900000          147.61630           1784            67.73642      
     11950000          147.79885           1784            67.65276      
     12000000          147.43365           1784            67.82034      
     12050000          147.11644           1784            67.96657      
     12100000          146.91606           1784            68.05927      
     12150000          147.23630           1784            67.91124      
     12200000          146.83791           1784            68.09549      
     12250000          146.70703           1784            68.15624      
     12300000          146.41666           1784            68.29141      
     12350000          146.49645           1784            68.25421      
     12400000          146.79105           1784            68.11723      
     12450000          146.36818           1784            68.31403      
     12500000          146.17962           1784            68.40215      
     12550000          146.32333           1784            68.33497      
     12600000          146.17655           1784            68.40359      
     12650000          146.49113           1784            68.25669      
     12700000          146.68937           1784            68.16445      
     12750000          146.09325           1784            68.44259      
